title,body,labels
"Add field length and bounds validation in Firestore rules","Lead: Security
Problem: Rules do not enforce max lengths or numeric bounds for user data.
Impact: Large payload abuse, UI breaks, and higher read costs.
Evidence:
- firestore.rules:50
- firestore.rules:76
Acceptance criteria:
- Add size limits for session names, host names, invite messages, and countdown names.
- Enforce max countdown value and verify integer types.","priority:P2,area:security"
"Enable App Check and throttling for join, invite, friend flows","Lead: Security
Problem: No abuse protection or throttling for joins, invites, and friend requests.
Impact: Brute force and spam risk at scale.
Evidence:
- src/services/sessions.ts:255
- src/services/invites.ts:109
Acceptance criteria:
- Enable Firebase App Check for Firestore and Auth.
- Add server-side throttling for invite and friend request creation.","priority:P2,area:security"
"Cap countdown max to prevent oversized DOM","Lead: Performance
Problem: Countdown max has no upper bound and renders one segment per tick.
Impact: Large values create huge DOM and slow clients.
Evidence:
- src/services/sessions.ts:400
- src/views/SessionView.vue:212
Acceptance criteria:
- Set a max countdown value in UI and Firestore rules.
- Provide clear validation errors for out-of-range values.","priority:P2,area:performance"
"Paginate or limit members and countdown subscriptions","Lead: Performance
Problem: Members and countdowns are subscribed without limits.
Impact: Large sessions increase Firestore reads and UI rendering cost.
Evidence:
- src/services/sessions.ts:337
- src/services/sessions.ts:360
Acceptance criteria:
- Add pagination or limits or virtualized rendering.
- Define and enforce max member and countdown counts.","priority:P2,area:performance"
"Implement member heartbeat and stale cleanup","Lead: Product
Problem: lastSeenAt is set only on join and never updated.
Impact: Roster presence is stale and cannot prune inactive members.
Evidence:
- src/services/sessions.ts:302
Acceptance criteria:
- Add periodic heartbeat updates while in session.
- Surface presence state and clean up stale member docs.","priority:P3,area:product"
"Restore session when visiting /session/:id","Lead: UX
Problem: Visiting /session/:id without an in-memory session shows a dead-end screen.
Impact: Refreshing or sharing a session link fails to restore state.
Evidence:
- src/views/SessionView.vue:100
- src/router.ts:19
Acceptance criteria:
- Attempt resume when sessionId is present.
- If unauthorized, redirect to join or show recovery flow.","priority:P3,area:ux"
"Add invite revoke and resend UI for hosts","Lead: Product
Problem: Rules support revoked invites but the UI has no way to revoke or resend.
Impact: Hosts cannot manage invite mistakes or spam.
Evidence:
- firestore.rules:254
- src/stores/inviteStore.ts:117
Acceptance criteria:
- Add actions to revoke and resend invites for active sessions.
- Reflect revoked status in the UI.","priority:P3,area:product"
"Expose Apple sign-in in UI or remove from docs","Lead: Product
Problem: Apple sign-in exists in code and README but there is no UI entry point.
Impact: Feature mismatch and user confusion.
Evidence:
- src/services/auth.ts:64
- README.md:8
Acceptance criteria:
- Add an Apple sign-in button or remove Apple references from docs and config.","priority:P3,area:product"
"Gate auth diagnostics in production","Lead: Security
Problem: Auth diagnostics are visible to all users.
Impact: Exposes environment metadata in production.
Evidence:
- src/views/LoginView.vue:136
Acceptance criteria:
- Show diagnostics only in non-production builds or behind a feature flag.","priority:P3,area:security"
"Add error tracking and operational telemetry","Lead: Ops
Problem: Errors are only logged to console with no central monitoring.
Impact: Incidents are hard to detect and diagnose at scale.
Evidence:
- src/stores/sessionStore.ts:79
- src/stores/inviteStore.ts:163
Acceptance criteria:
- Integrate error tracking and alerting.
- Track key flows and failure rates for auth, session create, and invite accept.","priority:P2,area:ops"
"Add automated tests and CI","Lead: QA
Problem: No automated tests or CI workflows are defined.
Impact: Higher regression risk and slower feedback.
Evidence:
- package.json:6
Acceptance criteria:
- Add unit tests for stores, services, and Firestore rules.
- Add a CI workflow to run build and tests on PRs.","priority:P2,area:qa"
"Persist active session across refresh","Lead: UX
Problem: activeSessionId is in-memory only and is lost on refresh.
Impact: Users cannot return to an in-progress session after reload.
Evidence:
- src/stores/sessionStore.ts:20
- src/App.vue:32
Acceptance criteria:
- Persist activeSessionId to localStorage and restore on app init.
- Verify the session is still active before rejoining listeners.","priority:P3,area:ux"
